attrib_name	01CO006	01CO008	05CO004	05CO006	05CO007	05CO011	05CO015	05CO020	05CO028	05CO029	05CO032	05CO033	06CO001	06CO002	09CO005	09CO006	09CO008	14CO001	14CO002	20CO001	20CO003	05CO002	01CO005	01CO001	05CO003	05CO049	22CO004	05CO037	11CO033	20CO006	11CO043	20CO007	11CO042	11CO032	16CO002	11CO018	16CO006	11CO031	09CO011	05CO039	21CO006	05CO034	01CO022	20CO004	05CO048	09CO013	21CO007	15CO002	11CO062	05CO035	16CO003	11CO019	11CO030	01CO019	11CO005	01CO015	15CO001	11CO048	13CO001	27CO004	11CO010	05CO041	11CO020	11CO007	05CO026	11CO045	16CO011	14CO005	22CO006	11CO037	14CO003	05CO044	11CO036	11CO008	11CO060	11CO039	11CO070	11CO079	05CO053	11CO072	11CO027	11CO077	05CO054	05CO050	11CO058	11CO057	09CO022	11CO054	11CO053	11CO052	11CO061	11CO044	05CO045	11CO021	11CO047	11CO022	09CO014	09CO015	09CO018	09CO019
PLEC	7.4886	8.4007	7.8071	7.4886	8.4007	8.1871	7.5941	7.9645	8.4007	8.1871	7.9645	7.9645	8.1871	8.4007	8.1871	8.1871	8.1871	8.1871	8.6771	7.8879	7.4886	8.1871	8.6771	8.1871	7.5941	8.4007	8.6771	8.1871	7.8071	8.6771	7.9645	8.1871	7.7023	7.3235	7.5941	7.8071	7.9645	7.9645	7.6492	8.4007	7.4886	8.4007	7.3235	8.6771	7.8879	7.9645	8.4007	7.8071	7.8071	7.8071	7.8071	8.6771	7.9645	7.8071	7.7023	8.1871	7.7023	7.7023	7.9645	7.8071	7.8071	8.1871	8.1871	7.3235	7.9645	7.9645	7.8879	7.9645	7.5941	7.2551	7.8071	8.4007	7.7023	7.8071	7.4034	7.7023	7.5941	7.5941	8.4007	8.2978	7.8071	7.9645	8.4007	8.1871	7.7023	7.9645	8.6771	7.8071	7.7557	7.8071	7.5941	7.9645	8.1871	8.1871	7.9645	7.9645	7.5941	8.1871	7.8071	8.0801
MYH9	7.8071	7.9645	8.1871	7.1891	7.1891	7.8071	7.4886	7.8071	7.5941	7.7023	7.8071	7.2551	7.4034	7.7023	7.8071	7.9645	7.8071	7.5941	7.7023	7.7023	6.9824	7.9645	7.2225	7.8071	7.4886	8.6771	8.4007	7.9645	7.9645	8.4007	7.5941	7.9645	7.3235	6.9403	7.1891	7.9645	8.1871	7.5941	8.4007	8.0801	6.7561	7.4886	7.8071	7.9645	7.5941	8.6771	7.8071	7.9645	7.9645	7.4886	7.5941	8.4007	8.1871	7.7023	7.2551	8.6771	7.8071	7.4034	7.7023	8.1871	7.7023	8.6771	7.8071	7.5423	8.4007	7.7023	7.7023	7.7023	7.7023	6.7731	8.6771	7.7023	7.8071	7.5941	8.6771	7.8071	7.8071	7.8071	8.6771	8.2978	7.7023	8.1871	8.6771	7.7023	7.3235	7.7023	8.4007	7.9645	7.3235	7.7023	7.4886	7.8071	7.5941	7.5941	7.8071	7.7023	7.4034	7.9645	7.9645	7.8071
MYH11	7.1891	5.6395	6.6219	5.9355	1.9336	7.4886	5.8924	6.9824	5.8412	6.8435	6.0544	8.1871	7.133	7.9645	6.7561	6.2955	6.3975	6.9403	5.7942	7.8879	8.4007	6.9824	5.7206	6.4994	5.6082	6.3553	6.102	6.3154	7.4886	5.1659	6.9403	6.0396	8.4007	8.4007	8.4007	6.5336	7.4034	7.0592	5.3906	3.275	8.1871	8.1871	4.8938	6.1491	8.1871	6.0333	6.8603	8.1871	7.4886	8.4007	8.4007	6.6574	7.7023	8.4007	8.4007	6.102	8.4007	8.4007	8.4007	7.5941	8.1871	6.0053	8.4007	8.1871	6.6959	8.1871	8.4007	8.1871	8.1871	8.6771	5.2273	5.8605	5.0206	7.4886	6.2118	8.4007	6.2421	8.1871	5.9916	4.578	8.4007	7.5941	5.9586	7.1891	8.1871	6.3975	6.2118	6.3341	8.4007	7.1891	7.9645	6.5219	7.8071	5.4799	5.782	8.4007	7.8071	6.3248	4.0496	6.9403
COL6A3	8.4007	7.4466	8.6771	8.6771	7.8071	8.6771	8.6771	8.6771	8.1871	7.9645	8.6771	8.4007	8.4007	8.1871	8.4007	8.6771	8.4007	8.4007	7.4886	8.4007	8.1871	8.4007	8.1871	7.3235	8.1871	8.1871	7.9645	7.8071	8.4007	7.2551	8.4007	7.8071	8.1871	7.9645	8.1871	8.1871	8.4007	8.6771	8.6771	8.0801	8.4007	7.9645	6.8435	7.4034	8.4007	7.7023	8.1871	8.4007	8.4007	8.1871	8.1871	7.9645	8.4007	8.1871	8.1871	7.9645	8.1871	8.1871	8.1871	8.4007	8.4007	8.4007	7.9645	8.4007	8.1871	8.4007	8.1871	8.4007	8.4007	7.9645	7.9645	8.1871	8.4007	8.1871	8.4007	8.1871	8.6771	8.4007	8.1871	7.7023	7.9645	8.4007	8.1871	8.4007	8.4007	8.4007	7.9645	7.5423	8.1871	8.4007	8.4007	8.6771	8.4007	7.9645	8.4007	8.1871	8.4007	8.6771	8.6771	8.4007
HSPG2	7.7023	5.5546	7.7023	6.9403	6.6574	7.4034	7.2225	7.7023	6.6707	6.9403	7.4886	7.3235	7.8071	7.4034	7.7023	7.1613	7.1891	7.7023	6.3876	7.5941	7.9645	7.2551	5.7489	6.0196	7.2551	6.8265	6.8265	7.3235	7.3235	5.9057	7.8071	7.133	7.9645	7.8071	7.7023	7.4034	7.0332	6.9824	5.9508	6.0053	7.8071	7.7023	6.0691	6.6959	7.8879	6.9824	7.4886	7.4034	7.7023	7.5941	7.4034	7.3235	7.133	7.3235	7.8071	6.5639	7.4034	7.8071	7.4034	6.8083	7.9645	6.598	6.6219	7.4034	6.7561	7.8071	7.5941	7.2551	7.4034	7.5941	5.8787	6.7899	7.1891	7.7023	6.3876	7.2897	7.4034	7.3235	6.0396	6.4197	7.4034	7.133	5.5928	7.5941	7.9645	7.5941	6.5529	7.0848	7.9645	7.5941	7.8071	7.5941	7.4886	7.4886	7.3235	7.2551	7.9645	7.0592	6.0053	6.5639
FLNA	8.6771	7.5941	8.4007	8.4007	7.4886	8.4007	8.1871	8.4007	7.7023	8.4007	8.4007	8.6771	8.6771	8.6771	8.6771	8.4007	8.6771	8.6771	8.4007	8.6771	8.6771	8.6771	7.7023	8.4007	7.7023	7.9645	8.1871	8.6771	8.6771	8.1871	8.6771	8.6771	8.6771	8.6771	8.6771	8.4007	8.6771	8.4007	8.1871	7.364	8.6771	8.6771	7.0848	8.4007	8.6771	8.1871	8.6771	8.6771	8.6771	8.6771	8.6771	8.1871	8.6771	8.6771	8.6771	8.4007	8.6771	8.6771	8.6771	8.6771	8.6771	7.9645	8.6771	8.6771	8.6771	8.6771	8.6771	8.6771	8.6771	8.4007	8.4007	7.9645	7.9645	8.4007	8.1871	8.6771	8.4007	8.6771	7.9645	8.6771	8.6771	8.6771	7.8071	8.6771	8.6771	8.1871	8.1871	7.7023	8.6771	8.6771	8.6771	8.1871	8.6771	8.4007	8.1871	8.6771	8.6771	8.4007	8.1871	8.6771
AHNAK	5.6276	6.2619	5.2071	3.9069	8.1871	6.1412	5.8657	4.2884	6.2841	6.4622	5.8709	6.027	6.0691	6.233	6.4755	5.7874	5.7312	5.9651	5.3334	6.3248	6.3447	7.4034	7.0848	8.6771	6.3447	6.4622	6.598	6.6329	6.5336	7.0848	6.7272	6.6329	6.4413	6.8265	6.8265	6.4305	5.9205	5.2593	5.3906	5.3384	6.9824	7.1891	7.0332	7.0848	6.4413	6.1737	6.7561	6.7899	6.6707	6.5336	6.7272	6.3665	6.7731	6.6959	7.3235	6.0053	6.1491	6.4886	6.4994	6.61	7.0848	6.102	7.0332	5.8487	5.7312	6.4413	6.6959	5.8866	5.9586	7.0332	5.2273	6.1737	5.2388	6.4413	5.6633	6.8777	6.7417	5.8117	6.5336	6.6574	7.1891	7.2551	6.4622	7.133	7.0332	6.5529	6.3154	6.4413	6.9824	6.8265	6.3055	6.102	6.5529	6.8083	5.9984	6.5529	6.6833	6.8265	6.9178	6.0853
DYNC1H1	7.3235	6.9824	7.0848	7.7023	7.0848	6.9403	6.9824	7.0332	7.8071	7.5941	7.2551	6.6219	6.9403	6.7731	7.2897	7.2551	7.4034	7.1891	7.0848	6.8949	6.8265	7.1613	6.8265	7.4886	6.8603	7.2551	7.0332	7.1891	6.7899	7.4034	7.0332	7.4034	6.9824	6.7561	7.0332	7.0848	6.7899	6.5102	6.6707	6.7899	6.7272	7.2551	6.8435	7.7023	6.8083	7.3235	7.0592	7.133	7.0848	6.8265	6.7561	7.0848	6.8265	7.2225	6.8265	7.1891	7.1891	6.8265	6.9615	7.0848	6.9824	6.9824	6.8949	6.9403	7.3235	6.8265	6.8265	6.7899	7.008	6.6329	7.133	6.9403	7.0848	6.8603	6.9824	6.6707	6.7417	6.4755	6.6329	6.7417	6.3553	6.4413	7.2897	6.7116	6.9403	7.0592	7.2551	6.8949	7.0332	7.0848	6.8603	7.3235	7.0848	6.8083	7.1891	7.1891	6.9403	6.8949	7.4466	6.8265
FBN1	7.4034	5.044	7.5941	7.2551	7.5941	7.0848	5.8924	7.0848	6.233	6.3876	5.9651	5.7423	7.5941	6.7731	7.4886	6.3776	7.7023	6.9824	5.9355	7.1891	7.2551	6.6959	5.0507	3.7485	7.0332	5.943	5.8487	7.7023	6.8777	6.027	7.7023	7.7023	7.2551	6.8777	7.0848	7.133	6.6959	6.598	6.4305	5.3959	7.2551	7.8071	5.5791	7.8071	7.3235	6.3553	7.9645	7.3235	7.5941	7.7023	7.0332	7.5941	6.7731	5.7766	6.3154	6.4413	7.0848	7.5941	7.1891	6.2726	7.1613	5.8787	6.5336	6.7561	6.047	7.2551	7.133	7.0332	7.2551	6.3341	4.8595	6.7561	7.2551	7.0332	7.2551	7.2897	7.7023	6.6959	6.1412	7.8071	6.6707	7.8071	6.5336	7.9645	7.8071	7.4886	6.6219	7.4034	7.2551	8.1871	6.7561	7.4886	7.9645	7.7557	6.9178	7.8071	8.1871	7.2225	4.8826	6.8777
FN1	6.8083	5.5977	7.9645	7.5941	7.7023	7.9645	8.4007	8.1871	6.4622	6.4994	8.1871	7.8071	7.4886	7.8071	7.0592	7.7023	7.9645	7.9645	7.0332	8.1871	7.3235	7.7023	5.6395	6.4197	8.6771	6.598	6.2026	8.4007	8.1871	7.4886	8.1871	7.4886	7.5941	7.4034	7.8071	8.6771	7.8071	8.1871	7.008	6.1318	7.5941	7.5941	7.1891	7.3235	7.7023	8.4007	7.2551	7.5941	8.1871	7.9645	7.7023	7.8071	7.5941	7.4034	7.4034	7.7023	7.5941	7.3235	7.4886	7.9645	7.4034	7.8071	7.4886	7.8071	7.8071	7.4886	7.0848	7.8071	7.9645	7.0848	6.9403	8.6771	8.6771	8.6771	7.5941	7.5941	8.1871	7.7023	7.5941	7.5941	7.4886	7.4886	5.6395	7.8071	7.5941	8.6771	7.1891	7.5423	7.5941	7.9645	8.1871	8.4007	7.7023	8.6771	8.6771	6.9178	7.7023	7.5941	7.4466	7.5941
TLN1	7.2551	6.598	7.1891	7.008	7.0332	7.5941	6.8603	7.364	6.9824	7.2225	7.0848	7.4886	7.1891	7.5941	7.5941	7.3235	7.3235	7.4034	6.9824	7.4886	7.5941	7.4886	6.5219	6.7731	6.7272	7.3235	7.2897	7.0848	7.4034	6.9403	7.133	7.3235	7.4034	7.7023	7.4034	7.2551	7.7023	7.1613	7.4034	6.8949	7.7023	7.4034	6.6959	6.9824	7.0332	7.0848	7.3235	7.7023	7.1891	7.2551	7.4886	7.133	7.3235	7.5941	7.5941	7.364	7.4886	7.4886	7.5941	7.4886	7.4886	7.2897	7.5941	7.0332	7.1891	7.3235	7.4034	7.0848	7.3235	7.8071	7.0848	6.6574	6.9824	7.2551	7.0332	7.4034	7.2551	7.4034	7.1891	7.2551	7.5941	7.3235	7.133	7.4034	7.4034	6.8603	7.4886	7.1891	7.4886	7.2551	7.2225	6.9178	7.3235	7.0848	6.9824	7.4034	7.4886	7.2225	7.133	7.133
SPTAN1	6.8083	8.1871	7.3235	6.6707	6.8435	7.3235	6.5102	6.7731	7.3235	7.4034	6.7899	6.4413	7.3235	6.9403	7.2897	7.1613	7.0592	7.0332	7.4886	6.7272	6.6439	7.1613	7.8071	7.2551	6.9403	7.1891	7.1613	7.0332	6.3154	7.133	6.8603	7.5941	6.7417	6.6219	7.133	7.0332	6.6574	6.4086	7.2225	7.4886	6.4622	6.9403	6.9403	7.4886	7.0848	7.2551	7.7023	7.1891	7.0332	6.6574	6.598	6.8603	6.9615	7.133	6.9403	7.8071	6.5749	6.5433	6.6959	6.4197	7.3235	6.8603	6.5639	6.7899	7.5941	6.6959	7.0332	6.5336	6.4197	6.2841	7.7023	6.6959	6.6574	6.7899	6.8949	6.7899	6.9403	6.7899	7.4034	6.8435	6.8265	6.9403	7.2897	6.9824	6.8265	6.9824	7.8071	6.9403	7.0848	6.9178	6.2619	6.7899	6.8083	6.9403	6.8265	7.0332	7.0332	6.9824	6.7731	7.0848
APOB	5.6903	4.3785	6.4886	5.9715	0	5.8924	5.5791	6.6439	3.8943	4.858	5.6026	6.7899	6.2225	6.1934	4.433	5.3863	5.9782	6.3341	5.9984	6.598	6.7561	5.2774	4.6548	6.0772	6.8265	5.4311	4.8659	6.3776	6.9403	5.6496	6.9824	5.0725	6.5219	5.4692	5.4692	5.8009	5.1631	6.1654	2.3896	4.852	6.3665	5.1465	7.7023	5.4214	6.6439	6.5336	5.8175	6.102	5.7874	5.2774	5.2418	5.223	6.7272	5.7766	6.0121	5.1087	5.3234	6.7272	5.0843	5.8982	5.8412	5.3027	6.1654	6.102	5.484	6.2421	6.3055	5.3593	6.0937	6.7272	4.5008	6.233	5.8657	6.7899	6.7899	6.1223	6.8603	6.2841	5.8232	6.1737	5.3477	5.8605	3.5033	6.2421	6.1122	6.2225	5.5668	6.4086	6.4197	6.0853	6.7561	6.5749	6.4305	7.0332	7.1091	5.5791	5.8232	4.5723	6.1934	5.191
PRKDC	6.7272	6.4413	7.0332	6.7417	6.9824	7.7023	6.4755	7.364	7.1891	7.3235	6.4886	6.0853	7.7023	6.6959	6.9824	6.3154	6.8603	7.4886	7.8071	6.6707	6.102	6.8603	7.4886	5.0281	6.6329	6.9403	7.2897	6.8949	6.2726	7.5941	6.1737	7.0332	6.7417	5.8285	6.5219	6.1491	7.1091	5.7942	6.7899	6.6574	5.8982	6.8265	6.233	6.8603	6.5749	6.8949	7.5941	6.9403	6.8265	6.9824	6.4622	6.5749	6.5219	6.4197	5.782	7.2551	6.027	6.1491	6.3776	6.0937	6.9178	6.5433	5.8709	6.3248	6.6707	6.2421	6.2026	6.2026	6.0196	5.1944	6.1491	6.598	6.1836	6.0772	7.133	6.7272	6.102	6.3975	6.4086	6.9403	6.4197	6.6439	6.7731	6.7731	6.1737	6.8265	7.4034	7.0332	6.6959	6.6219	6.3055	6.9178	6.6439	6.4197	7.1091	7.133	6.6833	7.3235	6.9178	6.5336
FCGBP	8.1871	8.6771	3.9402	8.1871	0	4.2581	7.3235	5.9131	8.6771	8.6771	7.1613	5.1239	6.0691	4.3618	4.9937	7.5941	5.2713	2.1827	2.0909	5.3736	4.0921	0.6781	5.1087	6.8777	2.9828	7.4034	6.3975	5.6446	5.3778	6.4622	1.9336	6.2026	5.1393	6.4886	3.3248	0	1.9891	4.7252	4.7892	3.8022	5.7206	0.9107	6.2955	0	5.4055	1.4594	4.3646	5.0917	6.5336	0.4542	0	0	0	5.5395	6.7417	1.8758	5.0687	5.3623	3.4673	5.3556	2.669	4.3618	6.8603	6.4622	4.0721	0	4.5978	4.6352	5.2806	2.211	5.9715	2.3377	4.2219	1.6135	0	4.375	0	0.0841	6.0937	0	4.8595	0.1506	5.4746	1.263	6.598	1.7866	4.1119	0	6.1491	5.8009	6.7561	0	3.6282	0	0	4.7986	1.8278	5.7259	2.5509	4.546
SPTBN1	6.3665	7.0848	6.7272	6.598	6.3341	6.6439	6.102	6.4086	6.7561	6.5529	6.3553	6.0544	6.7116	6.2955	6.5639	6.6833	6.7116	6.4518	6.8777	6.2955	6.233	6.5336	7.3235	7.133	6.5102	6.6707	6.8949	6.5639	5.7423	6.5102	6.4994	6.7272	6.027	6.1491	6.5865	6.5749	5.8285	5.7942	6.4305	6.8435	6.0691	6.4994	6.5749	6.7272	6.7272	6.6439	7.0592	6.6959	6.4413	6.2955	5.7942	6.1122	6.1836	6.0544	6.0772	7.0848	6.027	6.0544	6.0196	5.9848	6.6707	6.102	5.8982	6.4413	6.8603	5.8175	6.2726	6.1737	5.7423	5.319	6.7272	6.2726	6.4413	6.0772	6.2955	6.2619	6.1836	6.4197	6.3154	6.2512	6.4622	6.3154	6.6833	6.4622	6.4886	6.4518	6.6707	6.4086	6.2512	6.3553	6.1318	6.6707	6.3154	6.5433	6.3876	6.598	6.4622	6.5529	6.6219	6.3055
COL12A1	6.102	5.5192	6.9403	6.4197	6.1491	6.8949	6.5529	7.2551	6.1836	5.9782	6.9824	7.0592	6.8949	7.2225	6.3975	7.0848	7.2551	6.6833	6.8777	7.4034	6.7116	6.8265	5.943	4.1651	7.3235	5.4973	4.8048	7.5941	7.2551	6.8949	7.2551	6.4086	6.2726	6.0691	5.7206	7.4886	7.2551	6.598	6.6329	6.3553	5.9355	6.598	6.2512	7.1613	6.7561	7.5941	6.3154	6.6959	6.8949	6.9403	6.8777	7.7023	6.8603	6.4886	6.2841	6.7272	6.6219	6.8265	6.7272	7.2551	6.7272	6.9403	6.4197	6.8265	7.4034	6.9824	6.3341	7.4886	7.0848	5.4578	7.008	7.4886	8.1871	7.9645	7.0848	6.5865	7.9645	7.2551	6.8083	7.4886	6.8603	7.4034	5.6903	7.2551	6.7899	7.8071	7.5941	6.9824	6.7561	7.4034	7.7023	7.2225	6.9615	7.7557	7.7023	5.8546	6.9403	7.4034	6.9178	7.2225
DSP	6.598	7.2897	6.0853	5.8285	4.7227	6.5433	5.8487	6.5336	7.2551	6.7272	6.5219	5.5056	6.7561	6.8265	6.9178	6.7272	5.8924	6.5865	6.6707	6.1318	5.5229	5.6686	6.9403	7.0848	6.6329	7.133	6.9824	6.5336	5.5229	7.0332	6.4413	6.4886	5.7206	6.0544	6.5529	6.4305	4.8728	4.8086	6.4755	5.9508	5.3284	6.6574	6.7561	7.2551	6.233	6.6439	6.6219	6.5336	6.6439	6.7561	5.4128	6.1491	5.9715	6.4622	6.3876	6.9824	6.1122	5.4692	6.0544	5.9848	6.7561	5.9057	6.6707	6.4086	6.8949	6.0121	5.9984	6.0853	5.2555	4.0858	6.7272	6.3876	5.6974	5.4055	6.5749	6.3776	4.8664	6.5865	7.0332	6.7899	6.6219	4.9937	7.0332	4.9882	5.8657	6.7272	6.8265	6.6329	6.4994	5.9715	5.8336	6.4755	5.8412	6.3975	5.5546	6.3553	6.5433	6.102	6.0853	6.3055
FLNB	7.0332	7.8071	6.9824	7.0848	7.4034	6.8435	6.8949	6.8603	7.4466	6.6707	7.3235	6.5749	7.0332	6.6219	7.0592	7.4034	7.133	6.8083	7.1891	7.2551	6.2619	7.3235	7.9645	7.9645	7.1891	7.8071	7.5941	6.8435	6.8777	7.8071	6.8265	7.1891	6.5219	6.2619	6.3975	5.9651	7.1091	6.2955	6.7899	6.9824	6.157	6.7272	6.8949	7.5941	7.2551	7.0332	7.4034	6.9824	7.2897	6.6574	6.3876	6.8265	6.4755	7.0332	6.7417	7.133	6.8603	6.5865	6.5336	7.008	6.8603	7.5941	7.3235	6.157	7.0848	6.5749	6.5102	6.8949	6.4622	5.319	7.4034	6.7272	6.8265	6.2841	6.7561	6.6219	7.1891	6.5865	7.4886	7.1891	6.7899	6.6959	7.1891	6.7116	6.6707	6.5865	7.133	6.2026	6.7272	7.133	6.8949	6.3975	6.8603	7.2897	6.6959	6.9178	6.3975	6.8603	7.5941	7.364
IQGAP1	6.5749	7.4466	6.7561	6.1934	6.4886	6.3341	6.4197	6.4086	6.7116	6.7899	6.233	6.1318	6.3553	6.2512	6.6707	6.4518	6.3447	6.4086	6.3341	6.6959	6.3876	6.3055	6.1737	6.8265	6.4413	6.7116	6.6574	6.8435	6.5639	6.7272	6.5529	6.6833	6.2421	6.4086	6.3154	6.7899	6.2421	6.3341	6.5433	6.3975	6.3341	5.9279	6.7272	6.8083	6.3154	6.4886	6.5336	6.8265	6.8603	5.782	6.2118	6.3975	6.0691	6.3665	6.4994	6.2118	6.4518	6.233	6.1122	6.6439	6.0772	6.6574	6.1934	6.4086	6.598	6.3341	6.157	6.4086	6.3975	5.8982	6.5749	6.3154	6.5749	6.0772	6.6219	6.3553	6.6959	6.027	6.0937	6.6219	6.5529	6.4413	6.3154	6.6329	6.3447	6.4886	6.7731	6.7272	6.1491	6.6439	6.4305	6.3154	6.6439	6.6329	6.5102	6.6574	6.2026	6.102	6.6219	6.3975
FGB	4.9635	4.6837	5.488	6.4197	2.7334	5.7663	7.7023	5.5668	4.7109	5.1164	6.3776	6.8603	4.8382	5.8866	4.9937	5.5154	5.2252	6.4518	4.5336	5.0023	5.1465	5.5607	4.8542	4.8184	8.4007	5.1127	4.4607	6.7731	7.1891	5.5501	6.7561	4.6156	6.0544	6.2118	5.8117	6.598	6.61	5.9984	4.8775	4.4515	6.5102	5.0815	7.4034	4.7892	6.1737	6.8265	6.1491	5.5105	6.7272	5.9984	5.128	6.2225	7.1891	4.9959	6.1318	5.4388	5.0687	6.1491	5.2161	6.3248	6.102	4.7814	5.5703	7.7023	6.0937	6.027	6.1412	5.4973	5.8657	5.4973	5.4097	7.364	6.7116	5.782	7.4886	5.2132	5.3695	6.5433	6.3665	6.1934	5.233	5.382	4.3491	5.6565	5.8657	7.3235	5.9279	8.6771	5.5886	6.598	6.5529	6.7899	5.5703	6.4622	6.3341	6.7417	6.1318	6.61	5.3556	6.3975
C3	6.8777	6.1223	6.2619	6.8949	3.706	6.9824	7.0592	6.8603	5.8982	6.6439	6.8949	7.7023	6.9824	6.8949	5.8232	6.4994	7.0592	7.2551	6.1654	6.9824	6.8949	6.7272	6.3975	6.7272	7.133	6.2118	5.782	6.9403	7.0848	6.7272	7.3235	6.2726	6.9403	6.6833	6.9403	6.9824	6.3975	7.0592	7.2225	6.2026	7.0332	7.133	8.6771	6.7561	7.1891	7.133	6.9403	6.6959	6.7899	7.0332	6.5749	6.5102	7.4034	6.7899	6.6833	7.0332	6.7899	7.133	6.5529	7.1891	6.5102	6.3553	7.1091	7.2551	6.9403	7.133	7.2897	7.1613	7.133	6.7731	6.8265	7.1891	7.133	6.9824	7.3235	6.6439	7.0332	6.9824	6.8949	6.8435	6.233	6.7899	5.3477	6.9824	7.1891	6.9178	6.598	7.3235	6.8603	6.7561	7.4034	7.7023	7.4034	7.1891	7.5941	6.047	7.133	6.7899	7.0332	6.598
VIM	7.133	6.3665	7.2551	6.6959	8.6771	7.1891	6.8265	7.4886	6.7116	7.0848	7.7023	7.5941	7.0848	7.4886	7.1891	7.4886	7.5423	7.0848	6.7899	7.3235	6.9403	7.8071	6.8603	6.9403	6.7899	7.7023	6.9403	7.4886	7.7023	6.8435	7.4034	6.9178	7.133	7.1891	6.9824	7.7023	7.5941	7.7023	7.8879	7.0332	7.1613	7.3235	6.6219	6.8083	7.133	7.4034	7.1891	7.4886	7.4034	7.1891	7.3235	7.4034	7.8071	7.4886	7.0332	7.4886	7.3235	7.2551	7.2551	7.7023	6.9178	7.7023	7.4034	7.1891	7.7023	7.4034	7.4886	7.1613	7.8071	7.3235	7.5941	6.4305	7.364	7.3235	7.8071	7.4886	7.4886	7.4886	7.8071	7.9645	7.2897	7.7023	7.9645	7.4886	6.9824	7.1891	7.008	6.8435	7.1891	7.3235	6.9824	7.133	7.1891	7.133	7.4466	6.8265	7.2551	7.7557	8.4007	7.364
VCL	6.4518	5.8412	6.5529	5.8982	6.4197	6.2118	5.9355	6.1491	5.7312	6.2512	5.9651	6.8949	6.3975	6.9824	6.4413	6.0053	6.5219	6.5336	6.102	6.7561	7.0332	6.3055	5.5738	6.0772	5.8117	6.233	6.0053	6.1934	6.6329	5.7942	6.3055	5.7663	6.8949	6.9824	6.6833	6.1491	6.5336	5.9651	5.7096	5.3959	6.7899	6.5529	5.8709	6.2118	6.3341	5.9984	6.4197	6.8603	6.2512	6.598	6.9824	6.1737	6.5219	6.8603	7.0848	5.8412	6.7899	7.0332	6.6707	6.5749	6.6329	6.0053	6.6219	6.1223	6.233	6.9403	6.61	6.61	6.5529	7.133	5.7035	5.9782	6.2726	6.233	6.1223	6.9403	6.6439	6.8435	6.5749	6.4518	6.7417	6.9824	5.9586	6.6329	6.7272	5.8866	6.1412	5.9715	6.8949	6.5219	6.1934	6.0853	6.3776	6.2619	6.0333	6.3341	6.7417	6.1737	5.7874	6.5639
MUC2	7.9645	6.8949	3.4653	7.9645	0	5.6831	6.2955	4.5304	7.0332	7.2225	7.0332	7.0592	5.7489	3.4482	5.5791	6.3776	5.8412	1.4168	2.0909	4.6221	7.4034	0	4.7905	6.8777	6.8949	7.4886	7.4886	7.4034	6.7116	5.6228	0	6.3447	5.7663	6.5749	3.7866	0	3.337	4.4715	5.9782	4.9319	6.6959	0	8.4007	1.4222	5.6131	2.9616	5.5977	5.6082	7.133	0	1.0356	0	0	6.6219	7.133	1.8758	6.7272	6.2726	6.2421	4.7306	1.4383	3.9069	6.7417	6.8949	5.0843	0	4.1739	7.3235	6.1491	2.211	6.0053	3.5771	7.5941	0.0566	2.8718	5.4578	6.598	0.0841	6.3154	0	6.4994	0.1506	5.6395	0	6.0618	2.8053	4.8184	0	6.102	6.2955	5.8866	0	5.3384	0	0	1.8953	0	5.6785	0.0976	3.0721
FASN	6.027	6.1491	6.6833	6.5102	7.3235	6.0618	6.5336	6.7731	6.6439	6.7272	6.3154	5.6446	6.598	5.8605	6.5639	6.6833	6.8949	6.1318	7.3235	5.8487	5.6131	6.2118	6.6439	6.61	6.2421	6.7899	6.3975	5.9715	6.0544	6.7272	6.5336	6.8083	5.8487	5.2841	5.9508	6.4994	6.3154	6.7561	5.8924	7.8071	5.6179	6.0396	6.5102	6.9403	6.4622	6.3055	5.9355	6.3154	6.9403	5.9131	5.2418	5.7206	5.7766	6.2726	5.3234	6.6833	6.2955	5.6228	5.9715	5.8412	6.2026	6.7272	5.6738	6.5433	6.5639	5.8605	5.4353	6.3665	5.6496	5.6738	6.598	6.5749	6.3776	6.4622	6.027	6.0853	6.3975	5.8117	6.6329	6.2118	5.9916	5.488	6.6439	5.9848	6.2118	5.8412	6.9403	6.1122	6.0121	6.1318	6.1934	6.598	6.3776	5.8412	6.7899	6.5336	5.6054	6.6833	6.1934	5.8009
MYH14	5.9984	6.5336	6.0053	4.4128	2.9449	6.5433	5.3623	5.6179	6.6219	6.9824	5.2449	4.9919	6.3776	6.0853	6.1223	5.8787	6.0196	6.0053	6.5749	5.9131	5.1944	6.5749	7.133	6.4622	5.9782	6.4886	6.3341	5.3623	5.3778	6.1122	5.8412	6.1654	5.8982	5.0917	6.5219	6.3341	6.0544	5.2593	6.3341	6.5336	5.0917	6.4413	5.4799	6.61	6.1122	6.5336	6.3776	5.8175	5.8412	6.2955	5.5977	5.5977	5.8009	6.0772	5.8232	6.6833	5.6082	5.4311	6.5749	5.5501	6.6959	5.2196	6.2726	5.4927	6.1934	5.6276	5.8866	5.6738	5.4158	4.4141	6.3154	4.4624	5.0206	4.7096	6.5433	6.6959	5.6276	5.9782	6.6707	6.4518	6.7417	6.2421	7.4886	5.943	5.6179	6.1122	6.5749	6.5102	6.0544	5.8605	5.5229	5.9848	6.2118	5.782	5.8285	6.102	5.8232	5.8924	6.1491	6.2118
