attrib_name	01CO006	01CO008	05CO004	05CO006	05CO007	05CO011	05CO015	05CO020	05CO028	05CO029	05CO032	05CO033	06CO001	06CO002	09CO005	09CO006	09CO008	14CO001	14CO002	20CO001	20CO003	05CO002	01CO005	01CO001	05CO003	05CO049	22CO004	05CO037	11CO033	20CO006	11CO043	20CO007	11CO042	11CO032	16CO002	11CO018	16CO006	11CO031	09CO011	05CO039	21CO006	05CO034	01CO022	20CO004	05CO048	09CO013	21CO007	15CO002	11CO062	05CO035	16CO003	11CO019	11CO030	01CO019	11CO005	01CO015	15CO001	11CO048	13CO001	27CO004	11CO010	05CO041	11CO020	11CO007	05CO026	11CO045	16CO011	14CO005	22CO006	11CO037	14CO003	05CO044	11CO036	11CO008	11CO060	11CO039	11CO070	11CO079	05CO053	11CO072	11CO027	11CO077	05CO054	05CO050	11CO058	11CO057	09CO022	11CO054	11CO053	11CO052	11CO061	11CO044	05CO045	11CO021	11CO047	11CO022	09CO014	09CO015	09CO018	09CO019
ZC3H15	1.7824	2.6346	3.1538	1.4489	1.9336	2.6645	2.2418	2.0635	2.4699	2.2928	2.2403	1.9298	2.9107	1.4276	2.6747	2.8053	0	2.6668	3.1243	1.189	2.9727	1.7824	2.9203	2.1859	1.9964	2.5945	3.2032	0.903	2.0426	2.254	2.6645	1.5211	2.6017	2.742	2.8339	3.1119	1.9891	2.9819	2.3896	2.6576	2.1827	3.0866	2.516	2.0942	2.7247	2.7751	2.1342	2.0356	2.1177	2.5185	2.384	2.3132	3.144	2.7225	1.8679	3.1683	3.3001	2.4489	2.8972	2.067	3.0036	2.3045	2.7677	2.8237	2.857	3.0704	2.5753	2.9727	1.9709	2.8359	3.0505	2.6554	3.116	2.2234	3.0875	2.8258	2.4594	2.8629	3.0772	2.4594	3.2623	2.511	2.7203	2.6264	2.8032	2.6415	2.9373	2.6088	2.862	1.4168	1.9964	1.4699	1.9819	2.6276	2.6346	3.4848	2.6088	3.0321	3.009	2.742
CAV1	3.3618	2.2957	2.4489	2.2418	4.2998	3.1747	2.5008	2.3533	1.6599	3.1177	3.0312	3.5692	2.9107	3.8929	1.0144	3.218	3.1391	3.0312	1.7004	3.7312	4.1914	2.7897	2.3248	3.1416	2.4725	2.9184	2.4303	2.5008	3.3001	1.406	3.6159	1.5211	4.2168	4.2479	3.706	3.1119	2.9477	1.9184	2.3896	2.6576	3.7782	3.4303	1.9336	2.4436	3.116	2.257	2.9745	3.6404	3.2705	3.1326	4.0858	2.0875	3.5546	3.406	3.9964	2.568	4.1432	3.8777	3.4673	3.251	3.0036	2.3045	3.6029	3.847	2.5084	4.1268	3.6753	3.6651	3.6159	5.044	2.0909	3.1043	2.8718	4.0045	2.3161	3.5999	3.1803	3.6129	1.406	2.4594	2.5753	3.6323	1.9964	3.7495	3.6803	2.4621	1.7866	1.852	3.511	3.0721	2.7981	2.254	2.9891	2.8875	2.6346	3.3205	3.2884	3.6323	4.0496	3.5509
CSTB	3.0054	3.2972	3.1538	2.717	3.5771	1.9373	3.3813	3.2824	3.1595	2.669	3.0312	2.6112	2.9107	3.0644	3.0925	3.0144	1.8718	2.6668	2.6826	3.0126	2.7247	3.101	2.3248	2.9579	2.9828	2.4114	1.8359	2.6622	3.1811	2.9561	3.1522	2.7634	2.3306	2.742	3.3248	3.9155	1.9891	3.2787	2.8298	1.541	2.4699	2.6576	2.3277	3.3016	3.0054	3.1243	2.8074	2.8339	2.9373	2.9891	2.8339	3.1152	2.4141	2.0841	3.3854	3.0444	2.3923	2.0531	2.8972	3.6029	2.669	2.8053	3.1875	2.5558	1.7004	2.8217	3.1391	3.1811	2.6668	0.251	1.4276	3.1043	2.144	3.1635	2.3161	3.0635	3.6519	1.7991	2.5185	3.0126	1.254	3.4396	2.9505	2.8866	2.9616	3.1152	1.9964	2.266	2.862	3.342	3.4303	2.9411	2.5583	3.4666	2.8914	2.6415	2.862	2.7908	4.0496	3.0721
GRWD1	2.6668	2.8934	2.7203	1.4489	0	2.6645	1.9184	2.0635	2.4699	2.511	2.8298	2.844	3.079	2.8237	2.4209	2.5236	2.8992	2.6668	3.5934	2.546	2.7247	2.0841	2.6645	1.2141	2.4725	1.5509	2.6508	1.9146	2.541	0.9855	2.4594	1.5211	2.3306	2.211	2.0909	2.0993	2.7004	1.9184	2.3896	1.541	1.7949	2.126	1.6915	1.9298	1.7225	2.257	2.9745	2.0356	1.6088	1.4489	1.0356	1.2016	2.1043	2.342	1.8679	2.3923	2.3923	2.7463	2.7004	2.067	2.4957	3.281	2.7677	2.5558	2.857	2.8217	2.8053	2.4005	1.9709	2.8359	2.8258	2.6554	2.5656	2.2234	2.8718	2.5033	2.067	3.1457	2.5185	2.7887	1.254	2.511	2.4343	2.2839	2.067	2.8053	2.5423	2.4489	2.4542	2.8934	2.7981	2.7398	2.2957	2.6276	2.6346	2.6415	1.1827	2.1859	3.009	1.6135
NDUFV2	2.278	2.2957	1.7004	2.2418	2.5059	1.2265	2.2418	1.3561	1.9855	0.4751	1.1635	2.6112	2.5286	3.0644	2.4209	2.1859	2.6276	2.1827	3.1243	2.546	2.4383	0.6781	1.9146	1.7866	1.6915	2.5945	1.4168	2.1243	2.541	2.4607	1.1953	1.2388	1.0072	2.5033	2.0909	1.441	2.9477	2.5692	0.0566	1.541	2.1827	1.6554	0.3896	1.9298	1.7225	2.257	1.1309	1.7485	1.6088	2.2957	1.6554	0.546	2.1043	2.342	2.844	2.568	2.3923	2.4489	2.126	2.5122	1.7991	1.5558	2.4621	1.8359	1.3277	1.4699	1.6182	2.4005	1.9709	2.8359	2.516	1.9241	2.144	1.6135	1.9184	2.8258	2.067	1.7991	3.0772	2.7887	2.5753	3.4396	2.7203	1.8934	1.3561	1.0976	0.7908	0.3896	1.6229	2.1827	1.9964	1.4699	0.8718	1.2327	1.189	1.8953	0	2.7908	1.844	2.2928
CLPTM1	1.7824	1.8639	1.7004	2.2418	0.8953	1.2265	2.2418	1.7485	1.6599	1.4489	2.8298	1.9298	1.9964	2.0841	1.6229	1.7782	2.2839	1.4168	2.437	2.2296	2.0179	1.3561	1.3161	2.1859	0.585	2.1827	2.1538	1.3561	1.3161	0.3896	0.516	0.757	1.0072	1.8156	1.1375	1.441	0	0.1506	2.3896	2.211	0	0	1.3618	1.1763	1.0215	2.257	1.1309	1.4168	0.8953	1.8074	1.0356	1.5211	1.1375	1.7824	0	1.8758	1.3448	1.4168	1.7225	0	0.4436	1.5558	1.4594	0	1.3277	0	0	0	0	0.251	1.4276	0	0	0.0566	0	2.0841	1.4594	0.0841	0	2.0635	0	0.1506	2.9505	0	0	0.4542	2.5423	0.903	1.2388	0.7312	1.9964	0.8953	0.8718	1.8836	1.189	1.2388	2.269	1.7268	0.0976	1.6135
ADAM10	1.7824	3.1043	1.7004	3.2373	2.5059	2.845	2.2418	2.797	3.4249	2.511	2.8298	2.319	2.5286	2.0841	2.0635	3.218	2.2839	2.4489	2.6826	1.7991	2.7247	1.7824	1.3161	2.9579	1.9964	1.9146	1.8359	3.0721	2.8914	1.7398	2.211	2.0531	1.9964	1.8156	2.6668	2.844	1.3561	3.2787	2.3896	2.9973	1.7949	1.3561	1.9336	1.1763	1.7225	1.4594	2.1342	1.7485	1.8953	1.4489	2.384	2.3132	1.7181	2.342	3.2373	1.2203	0	2.0531	2.7004	2.067	1.4383	2.3045	2.067	2.5558	2.2869	2.1309	2.0356	2.9727	2.6668	2.211	2.8258	1.9241	2.8718	2.2234	1.9184	2.5033	2.7442	1.7991	2.8339	2.0635	2.8379	0.1506	2.4343	1.8934	2.067	1.4436	1.9964	1.6088	1.2388	1.844	1.9964	0.8953	2.2957	2.6276	1.8156	2.3089	2.269	1.1243	0.0976	0.0566
LRPAP1	2.0531	1.8639	2.1227	1.4489	1.9336	0.5361	0.8718	1.3561	1.9855	1.8074	2.2403	2.6112	1.9964	1.4276	2.0635	2.5236	2.6276	2.1827	1.7004	2.2296	2.0179	2.3477	1.9146	3.1416	2.4725	1.9146	1.8359	2.319	2.3045	2.4607	2.211	2.257	2.3306	0	2.0909	2.844	2.4033	0.1506	0.0566	0.0286	2.4699	1.3561	2.516	1.1763	1.4168	1.9298	1.4906	1	1.3391	2.0635	2.0635	2.0875	1.7181	1.7824	1.8679	2.3923	1.9891	1.4168	1.1827	1.4168	2.4957	2.5777	2.067	1.8359	2.6893	2.1309	2.0356	1.9891	1.3561	2.8359	1.4276	0	2.144	2.6206	1.3391	2.0841	1.4594	1.7991	1.406	2.0635	3.0626	1.8953	2.7203	2.2839	2.8032	2.6415	2.9373	2.7442	1.6229	1.844	1.9964	2.5261	1.9819	2.6276	2.8914	2.8992	1.1827	2.7908	2.5509	0.0566
HAT1	1.4383	0	1.0426	1.4489	2.2418	0	0.8718	1.3561	1.9855	2.669	1.7866	0	0	0	0	1.1635	1.2449	1.8278	1.7004	0	0	1.3561	0	0	1.2869	1.5509	1.4168	1.9146	1.7137	1.7398	0.516	1.5211	1.0072	1.8156	0	2.0993	1.3561	0.1506	1.7137	2.6576	1.2016	1.9146	2.8053	1.4222	1.7225	2.257	0.4542	2.0356	1.6088	1.4489	1.0356	0	1.7181	1.7824	2.278	1.8758	1.9891	0	1.1827	0	1.7991	2.8053	0.0144	2.254	2.5084	0	1.6182	1.3618	2.3618	0.251	2.0909	1.3219	2.144	0.0566	1.3391	2.0841	2.9873	1.7991	2.5185	0	2.5753	0.1506	1.9964	1.263	1.7824	0.4542	2.2079	1.6088	1.2388	1.844	0	1.9184	0	0	1.189	1.2388	0	0	0.0976	0.0566
PGLYRP2	1.7824	0	1.7004	1.9146	0.8953	1.9373	1.9184	1.7485	0.5945	1.4489	2.546	3.2342	1.2869	2.0841	0	0	1.2449	0.7824	0	2.8248	3.3248	1.7824	0	0	2.6668	1.1827	0.7312	2.5008	0.585	0.3896	2.4594	1.2388	3.4607	1.8156	2.8339	0	1.9891	0.1506	0.0566	0.0286	2.7181	2.9616	3.0461	1.4222	2.2141	2.5311	1.4906	2.0356	1.8953	3.373	2.6299	2.98	2.1043	1.3561	3.2373	2.1342	2.3923	2.4489	2.7004	2.067	2.0635	0.9336	2.4621	2.254	2.2869	2.8217	2.8053	2.7148	2.3618	2.8359	1.4276	3.8115	2.8718	3.5862	2.3161	0	2.067	1.7991	0	1.4276	1.844	2.511	0	1.8934	3.3667	2.6415	1.7866	1.852	2.4542	3.0721	2.4489	2.7398	0.8718	3.111	2.278	0	1.1827	1.1243	0.0976	0.0566
