"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81"
"C1R","15.75842","16.06628","15.78368","15.86384","16.11626","15.68647","16.32147","16.30447","15.88681","14.67844","15.72388","15.19471","15.17961","16.22205","15.54743","16.08649","16.04035","15.46639","15.71527","16.39391","15.76289","15.23700","16.31498","15.45514","16.30585","16.05309","16.26525","15.76293","16.02588","15.86252","15.53885","15.63050","15.76204","15.80500","15.88397","15.93703","16.23806","16.37138","15.64561","16.10411","15.96972","15.97766","15.98660","16.00921","16.02630","15.77786","16.32671","16.01399","15.77233","15.84623","16.09590","16.08957","16.22864","15.92312","16.17085","15.87446","15.59708","15.95192","15.59924","16.21192","16.15508","15.91951","16.05826","15.91499","15.76421","16.64102","16.13268","15.66021","15.82450","15.98201","16.11179","16.03552","15.65209","16.25813","16.43662","16.28526","16.26032","16.44835","16.20723","15.49429","15.92157"
"CADH5","14.91089","14.84360","15.28688","14.22653","14.15816","14.17546","14.12687","13.99021","14.23987","13.27455","14.54861","13.72181","14.41253","14.30941","13.80566","14.15749","14.54744","14.50044","14.24000","14.49370","14.36461","13.78680","13.84566","14.01317","13.92709","14.19573","14.17084","14.42326","14.34244","14.48137","14.66421","14.72785","13.91615","14.36834","14.92000","14.78984","14.66484","13.95680","14.27425","14.60275","14.50870","14.48075","14.11868","14.08183","14.95310","13.94949","14.33812","14.30205","15.17521","14.18409","13.97631","14.13791","14.54728","14.22975","14.34066","14.59958","14.83964","14.17457","15.29886","13.91338","14.50237","14.59754","13.99129","14.18702","14.21002","14.13893","14.69543","14.61771","14.88894","14.63960","14.09358","14.73858","14.44861","14.27610","14.54987","14.19844","14.59380","15.01797","14.11300","14.66214","14.22612"
"CCNH","13.86014","14.54361","14.13569","13.07326","13.54923","14.02881","13.42151","14.74857","14.27776","13.07023","14.00194","12.56635","13.81776","14.04035","13.29352","14.16080","14.43169","13.85342","13.41845","14.88098","13.83181","13.22427","14.35346","13.80538","14.31232","13.65367","14.02247","13.96012","14.57250","13.85549","13.50617","13.85274","14.44585","14.19612","13.72843","12.67698","14.27635","14.36802","14.15691","14.10887","14.86053","14.78055","15.04312","14.21583","14.25437","14.43140","14.48080","13.90355","14.25778","14.57609","15.04017","14.65616","15.40477","14.42232","15.03875","14.80433","14.41028","14.70896","14.69721","13.55746","14.17666","13.16398","12.46080","12.08503","12.74453","13.12425","12.45281","13.05884","12.54898","12.21051","12.15393","12.79521","11.38197","12.09365","11.19435","11.55799","12.40771","12.34475","12.67572","12.64454","13.42429"
"CFAB","17.69644","17.81400","18.08270","17.36631","18.04825","17.85829","18.17490","18.62911","17.49911","17.53208","17.63509","16.84732","17.36670","18.67567","17.12799","18.21138","17.97633","17.71430","17.64588","17.69314","17.74914","17.00545","18.16343","17.66677","18.75482","17.51909","18.74761","17.40048","17.85891","17.61075","17.25046","17.60276","18.04284","17.83918","17.74660","17.91907","17.45772","18.36013","17.60982","18.61283","17.04733","18.40671","18.49347","18.14942","18.13941","17.64710","18.30174","17.73480","17.56180","18.12720","18.13063","17.94287","18.50612","17.54949","17.86924","17.68991","17.22798","18.18149","17.72872","18.20961","18.12154","17.57567","17.42733","17.63733","17.76632","18.67484","17.54629","18.37921","18.17388","17.65979","17.97400","18.16973","17.05995","18.20455","18.02007","18.33881","18.38822","17.75921","18.05391","17.65337","18.18668"
"CLUS","18.88729","18.71761","19.14523","18.75908","18.90718","18.90121","19.23760","18.66307","18.93919","18.43307","18.78425","18.66869","18.73026","18.87382","18.69324","19.03584","19.00887","19.09059","18.76213","19.10948","19.11735","18.45614","18.53824","18.50855","18.43658","18.77250","18.73283","18.91059","19.07879","19.19199","18.78124","18.89990","18.67366","19.06278","19.21550","19.31853","19.10328","19.20286","18.82375","19.44270","19.25131","18.74312","19.05745","19.27821","19.10824","18.65477","18.95836","18.74849","19.09125","18.98253","19.13717","18.84955","18.81588","18.86328","18.99327","18.71456","18.79752","18.13754","19.01511","18.84213","18.46992","19.21415","19.22339","19.16694","18.93024","19.02106","18.94688","18.87697","18.97804","18.94038","18.74505","19.37944","18.74999","18.90052","19.01359","18.95285","18.64268","19.28157","19.03167","18.86124","18.39383"
"CO3","20.50418","20.34448","20.83125","20.23148","20.46316","20.24616","20.89166","20.86347","20.53798","19.74494","20.26866","19.83079","20.25625","20.71073","20.12406","20.89779","20.89040","20.50099","20.43047","20.87198","20.56839","19.90824","21.08893","20.62846","21.11362","20.57826","21.02669","20.10966","20.75951","20.41831","20.45756","20.45584","20.62125","20.63756","20.43567","20.94731","20.48018","20.78210","20.41717","21.16264","20.75912","20.91657","21.21959","20.33820","20.90487","20.24329","20.39658","20.80411","20.57708","20.69155","20.49245","21.30764","20.51404","19.88112","19.97255","20.25726","20.13730","20.26014","20.38528","19.63949","19.60767","20.31435","20.52555","19.71427","20.21996","21.05844","20.36918","20.56779","20.55903","20.60233","20.38383","20.40707","20.02959","20.27178","20.47603","19.96497","20.18594","20.82761","20.90846","19.94845","20.09763"
"CO4A","19.59528","19.12765","19.56023","19.90318","20.04227","19.66963","20.28023","20.35330","20.03019","19.47646","19.28347","18.57637","18.91002","19.57332","19.60993","20.02793","19.51853","19.06766","20.06308","20.01196","19.96251","18.59449","20.86768","19.68346","20.03696","19.53222","20.53042","18.60094","19.52067","19.71095","19.93527","19.10671","19.25548","19.03475","19.64979","19.91422","19.28771","19.99942","19.47137","19.29038","19.35147","19.35369","20.10852","20.09101","19.76391","19.57786","19.67899","20.57303","19.95660","20.14118","20.17218","19.99027","20.14014","19.28451","19.51057","19.05882","19.16085","19.80713","19.27665","20.14587","19.88936","19.50216","20.57482","19.51456","19.15152","20.46130","19.04456","19.93171","19.10173","19.25309","19.84947","19.87225","19.14143","19.93052","19.95206","19.51393","20.35370","19.95876","19.43497","19.39581","19.24969"
"CO5","17.20269","17.36312","17.60906","17.02519","17.52813","17.61699","17.98646","17.43954","17.13916","16.48756","17.08514","16.76854","17.14924","17.27074","17.24806","17.97021","17.32478","17.35990","17.08886","17.74864","17.24690","16.75847","17.33123","17.42978","17.70315","17.21997","17.56792","16.81044","17.44752","16.90542","17.22314","17.20277","16.97296","17.24188","17.41023","17.50292","17.56243","16.65465","17.39876","17.70004","17.48265","17.43789","17.39722","17.42786","17.47974","17.56055","17.32250","17.47130","17.42335","17.63409","17.70978","16.99167","17.44365","16.90105","17.53247","17.51350","16.83589","17.37779","17.20262","17.75668","17.39436","16.87995","17.20140","17.21310","17.04898","17.96535","17.14491","17.57528","17.04209","17.13228","17.41839","17.24271","16.90080","17.24079","17.03524","17.24006","17.28008","17.77118","17.33626","16.84555","16.97085"
"CO6","16.68593","16.70375","16.80373","16.52790","16.96440","16.60014","16.83182","16.95044","16.49209","16.18720","16.55655","15.92467","16.52331","17.18027","16.58373","17.19880","16.81013","16.76135","16.68349","16.77180","16.60658","16.24927","16.98367","16.56761","17.27580","16.94793","17.00757","16.54305","16.78775","16.91799","16.63589","16.71817","16.88666","16.71930","17.02247","16.38618","16.93416","17.15956","16.63435","16.96210","16.60331","16.91319","16.86413","17.03993","17.11090","16.79150","17.24938","16.75575","16.74628","16.37399","17.24524","16.92012","17.05390","16.71085","16.98160","17.24026","16.61715","16.06715","16.74892","17.11116","16.99761","16.75180","16.82939","16.63903","16.67632","17.19905","16.63082","16.96306","16.67761","16.64880","16.41499","16.85092","16.57711","16.96456","16.97694","17.26659","16.99782","16.77997","17.04648","16.40857","16.65339"
"CO7","14.49753","14.17252","14.58533","14.61656","14.42883","14.54854","14.49050","14.36865","13.80016","13.05270","14.26030","14.40215","14.66508","14.19366","13.81989","14.70978","13.90502","14.03591","13.42001","14.01654","14.23279","13.30763","14.38661","13.99589","14.29398","13.79014","14.28374","14.20415","14.10657","13.97293","14.52326","13.99529","14.60218","13.96801","14.73413","14.21294","14.99092","13.93474","14.46613","14.61947","14.25454","14.50132","14.18791","14.16056","14.65746","14.43121","14.64317","14.31002","14.59815","14.09740","14.54234","15.10576","14.76903","14.71698","14.46921","14.70472","14.52974","14.55447","14.75396","14.49289","14.07245","14.36297","14.69854","14.48576","14.47894","14.73223","14.99257","15.01623","14.29754","14.46486","14.74028","13.95168","14.80945","14.66063","14.85998","14.17512","14.96753","15.17472","14.76155","14.36635","14.16361"
